Graph,Count,Avg rb,Min rb,HitTime
musae_FR_edges.clq,10,20.00,20,10
politician_edges.clq,10,21.00,21,10
public_figure_edges.clq,10,21.00,21,10
athletes_edges.clq,10,29.00,29,10
p2p-Gnutella24.clq,10,5.00,5,10
musae_PTBR_edges.clq,10,19.00,19,10
musae_ES_edges.clq,10,19.00,19,10
soc-Epinions1.clq,10,30.00,30,10
Amazon0505.clq,10,12.00,12,10
large_twitch_edges.clq,10,116.00,116,10
HR_edges.clq,10,13.00,13,10
musae_facebook_edges.clq,10,55.00,55,10
Email-EuAll.clq,10,21.80,21,2
p2p-Gnutella08.clq,10,6.00,6,10
lastfm_asia_edges.clq,10,15.00,15,10
web-NotreDame.clq,10,155.00,155,10
HU_edges.clq,10,12.00,12,10
RO_edges.clq,10,7.00,7,10
p2p-Gnutella09.clq,10,6.00,6,10
wiki-Vote.clq,10,23.00,23,10
artist_edges.clq,10,21.00,21,10
p2p-Gnutella31.clq,10,5.00,5,10
p2p-Gnutella04.clq,10,5.00,5,10
musae_DE_edges.clq,10,24.00,24,10
musae_git_edges.clq,10,24.00,24,10
government_edges.clq,10,28.00,28,10
musae_RU_edges.clq,10,15.00,15,10
p2p-Gnutella06.clq,10,5.00,5,10
Email-Enron.clq,10,25.00,25,10
musae_ENGB_edges.clq,10,11.00,11,10
p2p-Gnutella05.clq,10,5.00,5,10
Amazon0601.clq,10,12.00,12,10
web-Stanford.clq,10,64.00,64,10
soc-Slashdot0811.clq,10,30.00,30,10
p2p-Gnutella25.clq,10,5.00,5,10
Amazon0302.clq,10,7.00,7,10
Slashdot0902.clq,10,31.00,31,10
Amazon0312.clq,10,12.00,12,10
new_sites_edges.clq,10,31.00,31,10
company_edges.clq,10,21.00,21,10
tvshow_edges.clq,10,57.00,57,10
p2p-Gnutella30.clq,10,5.00,5,10
deezer_europe_edges.clq,10,11.00,11,10
