Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
athletes_edges,10,29.00,29,10,0.0000,0.0110
web-Stanford,10,61.00,61,10,1.2600,1.6420
Amazon0505,10,11.00,11,10,0.4300,0.4810
soc-Epinions1,10,28.70,28,3,1.5100,25.0500
musae_PTBR_edges,10,19.00,19,10,0.0200,0.2730
soc-Slashdot0811,10,29.00,29,10,0.3700,1.9860
deezer_europe_edges,10,11.00,11,10,0.0200,0.0270
p2p-Gnutella31,10,5.00,5,10,0.0400,0.0710
soc-pokec-relationships,10,29.00,29,10,4.2000,14.0380
Email-EuAll,10,18.50,18,5,3.8000,23.4680
musae_ES_edges,10,18.00,18,10,0.0100,0.2820
new_sites_edges,10,31.00,31,10,0.0100,0.0400
Amazon0601,10,11.00,11,10,0.4000,0.4620
HU_edges,10,12.00,12,10,0.0200,0.0600
musae_git_edges,10,24.00,24,10,0.1400,0.2270
politician_edges,10,21.00,21,10,0.0200,0.0370
web-Google,10,44.00,44,10,0.9000,1.4150
musae_DE_edges,10,22.00,22,10,0.0700,2.2300
musae_FR_edges,10,18.00,18,10,5.6600,12.9040
musae_RU_edges,10,15.00,15,10,0.0100,0.0130
government_edges,10,28.00,28,10,0.0100,0.0310
p2p-Gnutella25,10,5.00,5,10,0.0000,0.0030
Amazon0312,10,11.00,11,10,0.3600,0.3990
cit-Patents,10,11.00,11,10,14.3300,24.8190
Cit-HepTh,10,24.00,24,10,0.5600,1.2530
musae_facebook_edges,10,55.00,55,10,0.0100,0.0180
large_twitch_edges,10,109.00,109,10,15.7600,33.8950
company_edges,10,21.00,21,10,0.0000,0.0050
Amazon0302,10,7.00,7,10,0.1300,0.1570
Slashdot0902,10,30.00,30,10,0.2800,0.8540
musae_ENGB_edges,10,11.00,11,10,0.0000,0.0140
lastfm_asia_edges,10,15.00,15,10,0.0000,0.0090
p2p-Gnutella04,10,5.00,5,10,0.0100,0.0320
soc-LiveJournal1,10,321.00,321,10,9.6000,20.3220
p2p-Gnutella05,10,5.00,5,10,0.0000,0.0080
Email-Enron,10,24.00,24,10,0.1300,0.2590
p2p-Gnutella06,10,5.00,5,10,0.0100,0.0140
web-NotreDame,10,155.00,155,10,0.1100,0.1390
HR_edges,10,13.00,13,10,0.0500,0.2830
p2p-Gnutella08,10,6.00,6,10,0.0000,0.0080
artist_edges,10,20.00,20,10,1.4200,16.1300
p2p-Gnutella30,10,5.00,5,10,0.0000,0.0240
wiki-Vote,10,22.00,22,10,0.4200,4.1840
WikiTalk,10,49.00,49,10,6.5100,13.7160
tvshow_edges,10,57.00,57,10,0.0000,0.0000
public_figure_edges,10,21.00,21,10,0.0200,0.0490
web-BerkStan,10,201.00,201,10,5.9400,6.0150
Cit-HepPh,10,19.00,19,10,0.8000,1.0660
p2p-Gnutella09,10,6.00,6,10,0.0000,0.0020
RO_edges,10,7.00,7,10,0.0200,0.0360
p2p-Gnutella24,10,5.00,5,10,0.0100,0.0170
